E:\selfless_car\term1-simulator-windows\Data\IMG\center_2019_02_15_20_58_37_937.jpg,E:\selfless_car\term1-simulator-windows\Data\IMG\left_2019_02_15_20_58_37_937.jpg,E:\selfless_car\term1-simulator-windows\Data\IMG\right_2019_02_15_20_58_37_937.jpg,0,0,0,3.13E-06
E:\selfless_car\term1-simulator-windows\Data\IMG\center_2019_02_15_20_58_38_006.jpg,E:\selfless_car\term1-simulator-windows\Data\IMG\left_2019_02_15_20_58_38_006.jpg,E:\selfless_car\term1-simulator-windows\Data\IMG\right_2019_02_15_20_58_38_006.jpg,0,0,0,5.58E-06
E:\selfless_car\term1-simulator-windows\Data\IMG\center_2019_02_15_20_58_38_076.jpg,E:\selfless_car\term1-simulator-windows\Data\IMG\left_2019_02_15_20_58_38_076.jpg,E:\selfless_car\term1-simulator-windows\Data\IMG\right_2019_02_15_20_58_38_076.jpg,0,0,0,3.77E-06
E:\selfless_car\term1-simulator-windows\Data\IMG\center_2019_02_15_20_58_38_146.jpg,E:\selfless_car\term1-simulator-windows\Data\IMG\left_2019_02_15_20_58_38_146.jpg,E:\selfless_car\term1-simulator-windows\Data\IMG\right_2019_02_15_20_58_38_146.jpg,0,0,0,4.39E-06
E:\selfless_car\term1-simulator-windows\Data\IMG\center_2019_02_15_20_58_38_216.jpg,E:\selfless_car\term1-simulator-windows\Data\IMG\left_2019_02_15_20_58_38_216.jpg,E:\selfless_car\term1-simulator-windows\Data\IMG\right_2019_02_15_20_58_38_216.jpg,0,0,0,1.04E-05
E:\selfless_car\term1-simulator-windows\Data\IMG\center_2019_02_15_20_58_38_282.jpg,E:\selfless_car\term1-simulator-windows\Data\IMG\left_2019_02_15_20_58_38_282.jpg,E:\selfless_car\term1-simulator-windows\Data\IMG\right_2019_02_15_20_58_38_282.jpg,0,0,0,2.71E-05
E:\selfless_car\term1-simulator-windows\Data\IMG\center_2019_02_15_20_58_38_351.jpg,E:\selfless_car\term1-simulator-windows\Data\IMG\left_2019_02_15_20_58_38_351.jpg,E:\selfless_car\term1-simulator-windows\Data\IMG\right_2019_02_15_20_58_38_351.jpg,0,0,0,1.88E-05
E:\selfless_car\term1-simulator-windows\Data\IMG\center_2019_02_15_20_58_38_422.jpg,E:\selfless_car\term1-simulator-windows\Data\IMG\left_2019_02_15_20_58_38_422.jpg,E:\selfless_car\term1-simulator-windows\Data\IMG\right_2019_02_15_20_58_38_422.jpg,0,0,0,6.00E-07
E:\selfless_car\term1-simulator-windows\Data\IMG\center_2019_02_15_20_58_38_489.jpg,E:\selfless_car\term1-simulator-windows\Data\IMG\left_2019_02_15_20_58_38_489.jpg,E:\selfless_car\term1-simulator-windows\Data\IMG\right_2019_02_15_20_58_38_489.jpg,0,0,0,1.07E-05
E:\selfless_car\term1-simulator-windows\Data\IMG\center_2019_02_15_20_58_38_557.jpg,E:\selfless_car\term1-simulator-windows\Data\IMG\left_2019_02_15_20_58_38_557.jpg,E:\selfless_car\term1-simulator-windows\Data\IMG\right_2019_02_15_20_58_38_557.jpg,0,0,0,1.87E-06
